"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122"
"abil",0.0590507465576394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231490015848023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428759768483729,0,0,0,0,0,0,0,0,0,0,0.0285013718934271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"abov",0.0275976601357816,0.0387294894342481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490298855603779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291696787511109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192033718444813,0
"across",0.045600357750613,0,0,0,0.0518044880568189,0,0.0132901566219064,0.0168107279124777,0,0,0.0147582553185124,0,0,0.0360059562380727,0,0,0,0,0,0.0111824665849521,0,0,0,0.0216958967075566,0,0,0,0,0,0,0,0,0,0,0,0.0137957604064355,0,0,0,0,0,0,0,0,0.013017538024534,0,0,0,0,0,0,0.0150202361821546,0,0,0,0,0,0,0,0,0,0,0,0.0492897070831869,0,0.0158651244674008,0,0,0,0,0,0,0,0,0,0.0180029781190364,0.0181315708198866,0.0204711283450333,0,0,0,0,0,0,0.0135022335892773,0.0147582553185124,0,0,0,0.0241754277598488,0,0,0,0,0,0.0155731283115591,0,0,0,0.0880376849058078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"all",0.0170255957863027,0,0,0,0.0580260101288275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125254383097469,0,0,0,0,0,0,0,0.0204552122036874,0,0,0.013348706555458,0,0,0,0.0217043854680347,0,0,0,0,0,0,0,0.0183437064278229,0,0,0,0,0,0,0,0.015537019105533,0,0,0,0,0,0.0213780037316733,0,0.03194690445295,0,0,0.0229296330347786,0,0.027604606760316,0,0,0,0,0,0,0,0,0,0.0174434018178684,0,0,0,0,0.0270788047267862,0,0,0,0,0,0,0,0,0,0,0.0406182070901792,0,0,0,0,0,0,0,0,0,0,0.0140062783069584,0,0,0,0,0,0.0134752345796803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"analys",0.0225198343480274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165674552252008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205508870826261,0,0,0,0,0.0324207960010394,0,0,0,0,0,0,0,0,0,0,0,0,0.0221224255065916,0,0,0,0,0,0,0.0266724279157488,0.0268629452580041,0,0,0,0,0.029381346375942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696446728911217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"appendix",0.0193430995174958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264778493395229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175559653229445,0,0,0,0,0,0,0,0,0,0,0,0,0.0343648682917212,0,0.0176518995596819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229099121944808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159127961547872,0,0,0,0,0,0.0153094673906246,0.0171824341458606,0.0351119306458891,0,0.0256372826938238,0,0,0.0199401087618629,0,0,0,0,0.0326292688830484,0,0,0
"applic",0.0246909126676963,0,0,0,0,0,0,0.109228673258418,0.0215883896099753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335234342724007,0,0,0,0,0,0,0,0,0,0,0.0170387703120053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280502205136414,0,0,0,0,0,0,0,0,0.0406244572956185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"attent",0.0216096361836858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295804036284879,0,0,0.0259626564221261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288704739414042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456811296541206,0,0,0,0.0265353620784965,0,0,0,0,0,0,0,0,0,0.0546789279193261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205045979697473,0.0736491682178678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364526186128841,0,0,0
"avail",0.0175493253746281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240224371931384,0,0.0266430667051171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159279203128418,0,0,0,0,0,0,0,0,0,0,0,0,0.0311780567825839,0,0.0160149581287589,0,0,0,0,0,0,0,0,0,0,0.023634978528733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207853711883893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144371297416891,0,0,0,0,0,0.02777950082998,0.0155890283912919,0.0318558406256835,0,0.023259820139388,0,0,0.018090971219524,0,0,0,0.0168433180319706,0.0296034074501302,0,0,0
"base",0.0242376855323876,0,0,0,0,0.014054491263572,0,0,0,0,0,0,0,0,0,0.0261141515090886,0.00919930337251985,0,0,0.0178312488277918,0.0103787012407916,0,0,0,0,0,0,0,0,0,0,0.0134029585559892,0.0182328535311204,0,0,0,0,0,0.0125704766581017,0,0,0.0139575637376163,0,0,0.0103787012407916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164540385524745,0,0,0.0196489974947026,0,0.0126490421372148,0,0.0163213446931804,0,0,0,0.00836300306592714,0,0.0124162376807016,0,0,0,0.0163213446931804,0.0192747308757559,0.0135828640399622,0,0,0,0.0306643445750662,0.0107651422444381,0,0,0.0104321997007957,0,0.0192747308757559,0,0,0,0,0.0149914573478101,0,0,0,0,0,0.00996968838401166,0,0,0,0.0137676649112542,0,0,0.0107651422444381,0.0219983341516779,0,0,0,0,0,0.00996968838401166,0,0,0,0,0,0,0
