type,word,pos1,stemmed1,polarity
strongsubj,brag,noun,n,both
strongsubj,brag,verb,y,both
strongsubj,covet,verb,y,both
strongsubj,coveting,adj,n,both
strongsubj,covetingly,anypos,n,both
strongsubj,covetously,anypos,n,both
weaksubj,demand,adj,n,both
weaksubj,demand,noun,n,both
strongsubj,demand,verb,n,both
weaksubj,demands,adj,n,both
weaksubj,demands,noun,n,both
strongsubj,fawn,verb,y,both
strongsubj,gloat,verb,y,both
strongsubj,implore,verb,y,both
strongsubj,imploring,adj,n,both
strongsubj,imploringly,anypos,y,both
strongsubj,infatuated,anypos,n,both
strongsubj,lust,verb,y,both
strongsubj,plead,verb,y,both
strongsubj,pleading,adj,n,both
strongsubj,pleadingly,anypos,n,both
weaksubj,abandon,verb,y,negative
weaksubj,abandoned,adj,n,negative
weaksubj,abandonment,noun,n,negative
strongsubj,abase,verb,y,negative
strongsubj,abasement,anypos,y,negative
strongsubj,abash,verb,y,negative
weaksubj,abate,verb,y,negative
weaksubj,abdicate,verb,y,negative
strongsubj,aberration,adj,n,negative
strongsubj,aberration,noun,n,negative
strongsubj,abhor,anypos,y,negative
strongsubj,abhor,verb,y,negative
strongsubj,abhorred,adj,n,negative
strongsubj,abhorrence,noun,n,negative
strongsubj,abhorrent,adj,n,negative
strongsubj,abhorrently,anypos,n,negative
strongsubj,abhors,adj,n,negative
strongsubj,abhors,noun,n,negative
strongsubj,abject,adj,n,negative
strongsubj,abjectly,adverb,n,negative
weaksubj,abjure,verb,y,negative
weaksubj,abnormal,adj,n,negative
weaksubj,abolish,verb,y,negative
strongsubj,abominable,adj,n,negative
strongsubj,abominably,anypos,n,negative
strongsubj,abominate,verb,y,negative
strongsubj,abomination,noun,n,negative
weaksubj,abrade,verb,y,negative
strongsubj,abrasive,adj,n,negative
weaksubj,abrupt,adj,n,negative
strongsubj,abscond,verb,y,negative
weaksubj,absence,noun,n,negative
weaksubj,absentee,anypos,y,negative
strongsubj,absentminded,adj,n,negative
strongsubj,absurd,adj,n,negative
strongsubj,absurdity,noun,n,negative
strongsubj,absurdly,anypos,n,negative
strongsubj,absurdness,noun,n,negative
weaksubj,abuse,adj,n,negative
weaksubj,abuse,noun,n,negative
strongsubj,abuse,verb,y,negative
weaksubj,abuses,adj,n,negative
weaksubj,abuses,noun,n,negative
strongsubj,abusive,adj,n,negative
strongsubj,abysmal,adj,n,negative
strongsubj,abysmally,anypos,n,negative
strongsubj,abyss,noun,n,negative
weaksubj,accidental,adj,n,negative
weaksubj,accost,verb,y,negative
weaksubj,accountable,adj,n,negative
strongsubj,accursed,adj,n,negative
strongsubj,accusation,adj,n,negative
strongsubj,accusation,noun,n,negative
strongsubj,accusations,adj,n,negative
strongsubj,accusations,noun,n,negative
strongsubj,accuse,verb,y,negative
strongsubj,accuses,verb,n,negative
strongsubj,accusing,anypos,n,negative
strongsubj,accusingly,anypos,n,negative
strongsubj,acerbate,verb,y,negative
strongsubj,acerbic,adj,n,negative
strongsubj,acerbically,adverb,n,negative
strongsubj,ache,verb,y,negative
strongsubj,acrid,adj,n,negative
strongsubj,acridly,anypos,n,negative
strongsubj,acridness,noun,n,negative
strongsubj,acrimonious,adj,n,negative
strongsubj,acrimoniously,anypos,n,negative
strongsubj,acrimony,noun,n,negative
strongsubj,adamant,adj,n,negative
strongsubj,adamantly,anypos,n,negative
weaksubj,addict,noun,n,negative
weaksubj,addiction,noun,n,negative
strongsubj,admonish,verb,y,negative
strongsubj,admonisher,anypos,y,negative
strongsubj,admonishingly,anypos,y,negative
strongsubj,admonishment,anypos,y,negative
strongsubj,admonition,noun,n,negative
weaksubj,adrift,anypos,n,negative
strongsubj,adulterate,verb,y,negative
strongsubj,adulterated,anypos,n,negative
strongsubj,adulteration,noun,n,negative
weaksubj,adversarial,adj,n,negative
weaksubj,adversary,noun,y,negative
weaksubj,adverse,adj,n,negative
strongsubj,adversity,noun,n,negative
weaksubj,affectation,noun,n,negative
weaksubj,afflict,verb,y,negative
weaksubj,affliction,noun,n,negative
strongsubj,afflictive,adj,n,negative
strongsubj,affront,noun,n,negative
strongsubj,affront,verb,y,negative
strongsubj,afraid,adj,n,negative
weaksubj,against,anypos,n,negative
strongsubj,aggravate,verb,y,negative
strongsubj,aggravating,adj,n,negative
strongsubj,aggravation,noun,n,negative
strongsubj,aggression,adj,n,negative
strongsubj,aggression,noun,n,negative
strongsubj,aggressive,anypos,y,negative
strongsubj,aggressiveness,noun,n,negative
strongsubj,aggressor,noun,n,negative
strongsubj,aggrieve,verb,y,negative
strongsubj,aggrieved,adj,n,negative
strongsubj,aghast,adj,n,negative
strongsubj,agitate,verb,y,negative
strongsubj,agitated,adj,n,negative
strongsubj,agitation,noun,n,negative
strongsubj,agitator,noun,n,negative
strongsubj,agonies,noun,n,negative
strongsubj,agonize,verb,y,negative
strongsubj,agonizing,adj,n,negative
strongsubj,agonizing,anypos,y,negative
strongsubj,agonizingly,anypos,n,negative
strongsubj,agony,noun,n,negative
weaksubj,ail,noun,n,negative
weaksubj,ail,verb,y,negative
weaksubj,ailment,noun,n,negative
strongsubj,aimless,adj,n,negative
weaksubj,airs,adj,n,negative
weaksubj,airs,noun,n,negative
weaksubj,alarm,adj,n,negative
weaksubj,alarm,verb,y,negative
strongsubj,alarmed,adj,n,negative
strongsubj,alarming,adj,n,negative
strongsubj,alarmingly,anypos,n,negative
strongsubj,alas,anypos,y,negative
weaksubj,alienate,verb,y,negative
weaksubj,alienated,adj,n,negative
weaksubj,alienation,noun,n,negative
strongsubj,allegation,anypos,n,negative
strongsubj,allegations,adj,n,negative
strongsubj,allegations,noun,n,negative
weaksubj,allege,verb,n,negative
weaksubj,allergic,adj,n,negative
strongsubj,aloof,adj,n,negative
weaksubj,altercation,noun,n,negative
weaksubj,although,anypos,y,negative
strongsubj,ambiguity,noun,n,negative
strongsubj,ambiguous,adj,n,negative
strongsubj,ambivalence,anypos,y,negative
strongsubj,ambivalent,adj,n,negative
strongsubj,ambivalent,noun,n,negative
weaksubj,ambush,noun,n,negative
weaksubj,ambush,verb,y,negative
strongsubj,amiss,anypos,n,negative
weaksubj,amputate,verb,y,negative
strongsubj,anarchism,noun,n,negative
strongsubj,anarchist,noun,n,negative
strongsubj,anarchistic,adj,n,negative
strongsubj,anarchy,noun,n,negative
weaksubj,anemic,adj,n,negative
strongsubj,anger,adj,n,negative
strongsubj,anger,noun,n,negative
strongsubj,anger,verb,y,negative
strongsubj,angrily,anypos,y,negative
strongsubj,angriness,anypos,y,negative
strongsubj,angry,adj,n,negative
strongsubj,anguish,noun,n,negative
strongsubj,anguish,verb,y,negative
strongsubj,animosity,noun,n,negative
strongsubj,annihilate,verb,y,negative
strongsubj,annihilation,noun,n,negative
strongsubj,annoy,verb,y,negative
strongsubj,annoyance,noun,n,negative
strongsubj,annoyed,adj,n,negative
strongsubj,annoying,adj,n,negative
strongsubj,annoying,anypos,y,negative
strongsubj,annoyingly,anypos,n,negative
weaksubj,anomalous,adj,n,negative
weaksubj,anomaly,noun,n,negative
strongsubj,antagonism,noun,n,negative
weaksubj,antagonist,noun,n,negative
strongsubj,antagonistic,adj,n,negative
strongsubj,antagonize,verb,y,negative
strongsubj,anti,noun,n,negative
strongsubj,antiAmerican,adj,n,negative
strongsubj,antiAmerican,noun,n,negative
strongsubj,antiIsraeli,adj,n,negative
strongsubj,antiIsraeli,noun,n,negative
strongsubj,antioccupation,adj,n,negative
strongsubj,antioccupation,noun,n,negative
strongsubj,antipathy,noun,n,negative
strongsubj,antiproliferation,adj,n,negative
strongsubj,antiproliferation,noun,n,negative
strongsubj,antiquated,adj,n,negative
strongsubj,antiSemites,adj,n,negative
strongsubj,antiSemites,noun,n,negative
strongsubj,antisocial,adj,n,negative
strongsubj,antithetical,adj,n,negative
strongsubj,antithetical,noun,n,negative
strongsubj,antiUS,adj,n,negative
strongsubj,antiUS,noun,n,negative
strongsubj,antiwhite,adj,n,negative
strongsubj,antiwhite,noun,n,negative
strongsubj,anxieties,noun,n,negative
strongsubj,anxiety,noun,n,negative
strongsubj,anxious,anypos,n,negative
strongsubj,anxiously,anypos,n,negative
strongsubj,anxiousness,noun,n,negative
strongsubj,apathetic,adj,n,negative
strongsubj,apathetic,noun,n,negative
strongsubj,apathetically,adverb,n,negative
strongsubj,apathy,noun,n,negative
strongsubj,ape,verb,y,negative
strongsubj,apocalypse,noun,n,negative
strongsubj,apocalyptic,adj,n,negative
strongsubj,apologist,adj,n,negative
strongsubj,apologist,noun,n,negative
strongsubj,apologists,adj,n,negative
strongsubj,apologists,noun,n,negative
strongsubj,appal,verb,y,negative
strongsubj,appall,adj,n,negative
strongsubj,appall,anypos,y,negative
strongsubj,appall,verb,y,negative
strongsubj,appalled,adj,n,negative
strongsubj,appalling,adj,n,negative
strongsubj,appallingly,anypos,n,negative
strongsubj,apprehension,noun,n,negative
strongsubj,apprehensions,adj,n,negative
strongsubj,apprehensions,noun,n,negative
strongsubj,apprehensive,adj,n,negative
strongsubj,apprehensive,noun,n,negative
strongsubj,apprehensively,anypos,y,negative
strongsubj,arbitrary,adj,n,negative
strongsubj,arcane,adj,n,negative
strongsubj,archaic,adj,n,negative
strongsubj,arduous,adj,n,negative
strongsubj,arduously,anypos,n,negative
strongsubj,argue,verb,y,negative
weaksubj,argument,adj,n,negative
weaksubj,argument,noun,n,negative
strongsubj,argumentative,anypos,y,negative
weaksubj,arguments,adj,n,negative
