Day of Week,Carrier,Origin,Destination,Delayed
1,DH,IAD,LGA,0
1,US,DCA,LGA,0
1,DH,IAD,LGA,0
1,DH,IAD,LGA,0
1,US,DCA,LGA,0
1,MQ,DCA,LGA,0
1,US,DCA,LGA,0
1,US,DCA,LGA,0
1,DL,DCA,LGA,1
1,RU,BWI,EWR,0
1,CO,DCA,EWR,1
1,MQ,DCA,LGA,0
1,MQ,DCA,LGA,0
1,DH,IAD,LGA,0
1,MQ,DCA,LGA,1
1,US,DCA,LGA,1
1,UA,IAD,LGA,1
1,DH,IAD,JFK,0
1,DH,IAD,LGA,0
1,DL,DCA,LGA,0
1,MQ,DCA,LGA,1
1,DH,IAD,LGA,0
1,RU,DCA,EWR,0
1,US,DCA,LGA,0
1,US,DCA,LGA,0
1,RU,BWI,EWR,0
1,DH,IAD,JFK,0
1,RU,IAD,EWR,0
1,CO,DCA,EWR,0
1,DH,IAD,LGA,0
1,DH,IAD,EWR,0
1,DH,IAD,EWR,0
1,DL,DCA,LGA,0
1,RU,DCA,EWR,0
1,DH,IAD,EWR,1
1,DH,IAD,JFK,0
1,RU,IAD,EWR,0
1,DH,IAD,EWR,0
1,DL,DCA,JFK,0
1,RU,BWI,EWR,0
1,DL,DCA,JFK,1
1,RU,BWI,EWR,0
1,MQ,DCA,LGA,0
1,DH,IAD,JFK,0
1,DH,IAD,EWR,0
1,DL,DCA,LGA,1
1,RU,IAD,EWR,0
1,DH,IAD,LGA,0
1,MQ,DCA,LGA,1
1,OH,BWI,JFK,0
1,DH,IAD,LGA,0
1,RU,DCA,EWR,0
1,MQ,DCA,JFK,1
1,MQ,DCA,LGA,0
1,DH,DCA,JFK,0
1,DH,IAD,JFK,0
1,US,DCA,LGA,0
1,CO,DCA,EWR,0
1,CO,DCA,EWR,0
1,RU,BWI,EWR,0
1,RU,IAD,EWR,0
1,RU,DCA,EWR,1
1,DH,IAD,JFK,0
1,DH,IAD,JFK,0
1,CO,DCA,EWR,0
1,MQ,DCA,JFK,0
1,DH,IAD,LGA,0
1,DH,IAD,EWR,0
1,CO,DCA,EWR,0
1,MQ,DCA,LGA,0
1,RU,IAD,EWR,0
1,DH,IAD,LGA,0
1,MQ,DCA,LGA,0
1,DL,DCA,LGA,0
1,MQ,DCA,JFK,1
1,MQ,DCA,LGA,1
1,RU,IAD,EWR,0
1,RU,DCA,EWR,0
1,US,DCA,LGA,0
1,DH,IAD,EWR,0
1,DH,IAD,LGA,0
1,DH,IAD,JFK,0
1,DH,IAD,EWR,0
1,DH,IAD,EWR,0
2,DH,IAD,LGA,0
2,RU,BWI,EWR,0
2,MQ,DCA,LGA,0
2,RU,IAD,EWR,0
2,RU,IAD,EWR,1
2,DH,IAD,JFK,0
2,DH,IAD,EWR,0
2,DL,DCA,LGA,0
2,DH,IAD,LGA,1
2,UA,IAD,LGA,1
2,CO,DCA,EWR,0
2,DH,IAD,JFK,0
2,DH,IAD,EWR,0
2,DH,IAD,JFK,0
2,DH,IAD,LGA,1
2,DH,IAD,EWR,1
2,RU,IAD,EWR,0
2,DL,DCA,JFK,0
2,DH,IAD,JFK,1
2,DL,DCA,JFK,0
2,DH,IAD,LGA,1
2,MQ,DCA,LGA,0
2,RU,BWI,EWR,0
2,MQ,DCA,JFK,0
2,RU,DCA,EWR,0
2,US,DCA,LGA,0
2,MQ,DCA,LGA,1
2,DL,DCA,LGA,0
2,DH,IAD,JFK,0
2,RU,DCA,EWR,0
2,MQ,DCA,LGA,0
2,DL,DCA,LGA,0
2,RU,BWI,EWR,0
2,RU,BWI,EWR,0
2,DH,IAD,LGA,1
2,CO,DCA,EWR,0
2,DH,IAD,EWR,0
2,DL,DCA,LGA,0
2,DH,IAD,JFK,0
2,MQ,DCA,LGA,0
2,CO,DCA,EWR,1
2,CO,DCA,EWR,0
2,DH,IAD,EWR,1
2,RU,BWI,EWR,0
2,MQ,DCA,JFK,0
2,MQ,DCA,LGA,1
2,CO,DCA,EWR,0
2,RU,IAD,EWR,0
2,MQ,DCA,JFK,1
2,DH,IAD,JFK,1
2,DH,IAD,LGA,0
2,CO,DCA,EWR,0
2,DL,DCA,LGA,0
2,RU,IAD,EWR,0
2,DH,DCA,JFK,0
2,MQ,DCA,LGA,0
2,MQ,DCA,LGA,0
2,DL,DCA,LGA,0
2,DL,DCA,LGA,0
2,DH,IAD,EWR,0
2,DH,IAD,JFK,0
2,DH,IAD,JFK,1
2,RU,DCA,EWR,0
3,MQ,DCA,LGA,0
3,DH,IAD,LGA,0
3,RU,IAD,EWR,0
3,MQ,DCA,LGA,0
3,US,DCA,LGA,0
3,RU,DCA,EWR,0
3,DH,IAD,JFK,0
3,US,DCA,LGA,0
3,RU,BWI,EWR,0
3,MQ,DCA,LGA,0
3,DL,DCA,LGA,0
3,DH,IAD,EWR,0
3,DH,IAD,JFK,0
3,DH,IAD,EWR,0
3,MQ,DCA,LGA,0
3,RU,IAD,EWR,0
3,MQ,DCA,LGA,0
3,RU,IAD,EWR,0
3,US,DCA,LGA,0
3,US,DCA,LGA,0
3,DH,IAD,EWR,0
3,RU,DCA,EWR,0
3,DL,DCA,LGA,0
3,DH,IAD,LGA,0
3,US,DCA,LGA,0
3,US,DCA,LGA,0
3,MQ,DCA,LGA,0
3,DL,DCA,LGA,0
3,RU,DCA,EWR,0
3,DH,IAD,EWR,0
3,DH,IAD,EWR,0
3,MQ,DCA,LGA,0
3,RU,BWI,EWR,0
3,CO,DCA,EWR,0
3,CO,DCA,EWR,0
3,CO,DCA,EWR,0
3,DH,IAD,LGA,0
3,DH,IAD,JFK,0
3,RU,BWI,EWR,0
3,MQ,DCA,JFK,0
3,RU,BWI,EWR,0
3,DH,IAD,JFK,0
3,DL,DCA,LGA,0
3,CO,DCA,EWR,0
3,MQ,DCA,LGA,0
3,CO,DCA,EWR,0
3,RU,IAD,EWR,0
3,US,DCA,LGA,0
3,US,DCA,LGA,0
3,US,DCA,LGA,0
3,MQ,DCA,LGA,0
3,DL,DCA,LGA,0
3,DL,DCA,LGA,0
3,RU,DCA,EWR,0
3,DH,IAD,LGA,0
3,DH,IAD,LGA,0
3,DH,IAD,EWR,0
4,US,DCA,LGA,0
4,MQ,DCA,LGA,0
4,RU,DCA,EWR,0
4,RU,IAD,EWR,0
4,US,DCA,LGA,0
4,DH,IAD,LGA,0
4,DL,DCA,LGA,0
4,MQ,DCA,LGA,0
4,CO,DCA,EWR,0
4,DL,DCA,LGA,0
4,DH,IAD,EWR,0
4,UA,IAD,LGA,0
4,RU,DCA,EWR,0
4,US,DCA,LGA,0
4,RU,BWI,EWR,0
4,DH,IAD,LGA,0
4,DH,IAD,LGA,0
4,MQ,DCA,LGA,0
4,RU,IAD,EWR,0
4,RU,DCA,EWR,0
4,MQ,DCA,LGA,0
4,DL,DCA,LGA,0
4,DL,DCA,JFK,0
4,MQ,DCA,LGA,0
4,DH,IAD,LGA,0
4,OH,BWI,JFK,0
4,DH,IAD,LGA,0
4,DL,DCA,JFK,0
4,DH,IAD,LGA,0
4,RU,DCA,EWR,0
4,DL,DCA,LGA,0
4,MQ,DCA,JFK,0
4,DH,DCA,JFK,0
4,MQ,DCA,LGA,0
4,DH,IAD,LGA,0
4,DH,IAD,LGA,0
4,CO,DCA,EWR,0
4,DL,DCA,LGA,0
4,US,DCA,LGA,0
4,MQ,DCA,LGA,0
4,RU,BWI,EWR,0
4,RU,BWI,EWR,0
4,US,DCA,LGA,0
4,US,DCA,LGA,0
4,DL,DCA,LGA,0
4,DH,IAD,LGA,0
4,CO,DCA,EWR,0
4,RU,IAD,EWR,0
4,MQ,DCA,LGA,0
4,DL,DCA,LGA,0
4,US,DCA,LGA,0
4,US,DCA,LGA,0
4,DH,IAD,LGA,0
4,US,DCA,LGA,0
4,RU,DCA,EWR,0
4,DH,IAD,LGA,0
4,DH,IAD,EWR,0
5,DH,IAD,LGA,0
5,RU,IAD,EWR,0
5,DH,IAD,EWR,0
5,RU,IAD,EWR,0
5,DH,IAD,LGA,0
5,DL,DCA,LGA,0
5,MQ,DCA,LGA,0
5,MQ,DCA,LGA,1
5,DL,DCA,LGA,0
5,DH,IAD,JFK,0
5,MQ,DCA,LGA,0
5,MQ,DCA,LGA,0
5,US,DCA,LGA,0
5,UA,IAD,LGA,0
5,UA,IAD,LGA,0
5,DL,DCA,LGA,0
5,RU,BWI,EWR,0
5,RU,BWI,EWR,0
5,MQ,DCA,LGA,0
5,MQ,DCA,LGA,0
5,DH,IAD,LGA,0
5,DH,IAD,LGA,0
5,DH,IAD,EWR,0
5,MQ,DCA,LGA,0
5,US,DCA,LGA,0
5,MQ,DCA,LGA,0
5,DH,IAD,EWR,0
5,RU,DCA,EWR,0
5,RU,IAD,EWR,0
5,CO,DCA,EWR,0
5,MQ,DCA,LGA,0
5,RU,BWI,EWR,0
5,RU,IAD,EWR,0
5,DL,DCA,JFK,0
5,DL,DCA,JFK,0
5,RU,IAD,EWR,0
5,DH,IAD,EWR,0
5,RU,BWI,EWR,0
5,DH,IAD,LGA,0
5,RU,DCA,EWR,0
5,MQ,DCA,JFK,0
5,DH,IAD,LGA,0
5,DH,IAD,LGA,0
5,RU,DCA,EWR,0
5,RU,BWI,EWR,0
5,RU,DCA,EWR,0
5,RU,IAD,EWR,0
5,DH,IAD,LGA,0
5,MQ,DCA,LGA,0
5,OH,BWI,JFK,0
5,RU,DCA,EWR,0
5,US,DCA,LGA,0
5,RU,IAD,EWR,0
5,MQ,DCA,LGA,0
5,MQ,DCA,LGA,0
5,MQ,DCA,LGA,0
