ID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9
1,yogurt,water,pastry,shopping bags,tropical fruit,soda,sausage,,
2,bread,tropical fruit,pastry,vegitables,soda,sausage,milk ,shopping bag,
3,bread,pastry,tropical fruit,water,yogurt,vegitables,sausage,shopping bag,
4,shopping bags,water,pastry,bread,sausage,vegitables,,,
5,vegitables,yogurt,soda,sausage,water,shopping bag,,,
6,soda,pastry,tropical fruit,bread,shopping bag,sausage,,,
7,sausage,tropical fruit,bread,,,,,,
8,vegitables,bread,tropical fruit,milk,yogurt,water,sausage,pastry,shopping bag
9,water,pastry,bread,vegitables,shopping bag,,,,
10,vegitables,sausage,pastry,bread,yogurt,shopping bag,,,
11,tropical fruit,bread,sausage,water,yogurt,soda,shopping bag,,
12,vegitables,sausage,tropical fruit,pastry,bread,shopping bag,,,
13,vegitables,yogurt,sausage,,,,,,
14,tropical fruit,soda,vegitables,pastry,shopping bag,water,bread,,
15,tropical fruit,soda,bread,shopping bag,sausage,water,vegitables,pastry,
16,tropical fruit,soda,water,sausage,shopping bag,,,,
17,soda,bread,milk,vegitables,shopping bag,,,,
18,tropical fruit,pastry,water,shopping bag,bread,,,,
19,tropical fruit,shoppng bag,soda,water,vegitables,pastry,yogurt,milk,
20,soda,pastry,shopping bag,vegitables,sausage,bread,tropical fruit,water,
