P_SEQ,M_SEQ,M_NAME,A_SEQ,A_NAME,A_UNIT,Price,P_YEAR_MONTH,M_TYPE_CODE,M_TYPE_NAME,M_GU_CODE,City
319572,199,SC,305,Apple-Fuji,1,2.17,12-Jul,1,Local Mart,140000,JG
319573,199,SC,306,Pear,1,2.61,12-Jul,1,Local Mart,140000,JG
319574,199,SC,307,Chiness cabbage,1,4.35,12-Jul,1,Local Mart,140000,JG
319575,199,SC,308,Radish,1,1.30,12-Jul,1,Local Mart,140000,JG
319576,199,SC,309,Onions,6 lbs,1.74,12-Jul,1,Local Mart,140000,JG
319577,199,SC,23,Lettuce,3.5 Ounce,1.04,12-Jul,1,Local Mart,140000,JG
319578,199,SC,311,Cucumber,1,0.87,12-Jul,1,Local Mart,140000,JG
319580,199,SC,58,Beef - Sirloin,1.3 lbs,19.13,12-Jul,1,Local Mart,140000,JG
319581,199,SC,202,Pork,1,12.61,12-Jul,1,Local Mart,140000,JG
319582,199,SC,283,Chicken,1,4.78,12-Jul,1,Local Mart,140000,JG
319583,199,SC,181,Egg,12,1.61,12-Jul,1,Local Mart,140000,JG
319584,199,SC,144,Yellow corbina,1,1.57,12-Jul,1,Local Mart,140000,JG
319585,199,SC,152,Pollack,1,4.35,12-Jul,1,Local Mart,140000,JG
319586,199,SC,256,Mussel,1 box,2.61,12-Jul,1,Local Mart,140000,JG
319587,199,SC,268,Cod,1,4.35,12-Jul,1,Local Mart,140000,JG
319748,60,Emart,305,Apple-Fuji,1,2.61,12-Jul,2,Grocery Store,140000,JG
319749,60,Emart,306,Pear,1,2.35,12-Jul,2,Grocery Store,140000,JG
319750,60,Emart,307,Chiness cabbage,1,2.07,12-Jul,2,Grocery Store,140000,JG
319751,60,Emart,308,Radish,1,1.37,12-Jul,2,Grocery Store,140000,JG
319752,60,Emart,309,Onions,7 lbs,1.90,12-Jul,2,Grocery Store,140000,JG
319753,60,Emart,310,Lettuce,3.5 Ounce,0.70,12-Jul,2,Grocery Store,140000,JG
319754,60,Emart,311,Cucumber,1,0.34,12-Jul,2,Grocery Store,140000,JG
319756,60,Emart,58,Beef - Sirloin,1.3 lbs,17.74,12-Jul,2,Grocery Store,140000,JG
319757,60,Emart,202,Pork,1,9.65,12-Jul,2,Grocery Store,140000,JG
319758,60,Emart,283,Chicken,1,6.78,12-Jul,2,Grocery Store,140000,JG
319759,60,Emart,134,Egg,12,3.74,12-Jul,2,Grocery Store,140000,JG
319760,60,Emart,144,Yellow corbina,1,1.11,12-Jul,2,Grocery Store,140000,JG
319761,60,Emart,152,Pollack,1,0.00,12-Jul,2,Grocery Store,140000,JG
319762,60,Emart,254,Mussel,1 box,1.72,12-Jul,2,Grocery Store,140000,JG
319763,60,Emart,266,Cod,1,3.46,12-Jul,2,Grocery Store,140000,JG
321251,136,Save Mart,305,Apple-Fuji,1,3.46,12-Jul,2,Grocery Store,620000,KW
321252,136,Save Mart,306,Pear,1,2.60,12-Jul,2,Grocery Store,620000,KW
321253,136,Save Mart,307,Chiness cabbage,1,1.73,12-Jul,2,Grocery Store,620000,KW
321254,136,Save Mart,308,Radish,1,1.30,12-Jul,2,Grocery Store,620000,KW
321255,136,Save Mart,309,Onions,8 lbs,2.00,12-Jul,2,Grocery Store,620000,KW
321256,136,Save Mart,310,Lettuce,3.5 Ounce,0.70,12-Jul,2,Grocery Store,620000,KW
321257,136,Save Mart,311,Cucumber,1,0.57,12-Jul,2,Grocery Store,620000,KW
321258,136,Save Mart,312,squash,1,1.30,12-Jul,2,Grocery Store,620000,KW
321259,136,Save Mart,58,Beef - Sirloin,1.3 lbs,17.11,12-Jul,2,Grocery Store,620000,KW
321260,136,Save Mart,99,Pork,1,12.43,12-Jul,2,Grocery Store,620000,KW
321261,136,Save Mart,283,Chicken,1,6.52,12-Jul,2,Grocery Store,620000,KW
321262,136,Save Mart,17,Egg,12,2.26,12-Jul,2,Grocery Store,620000,KW
321263,136,Save Mart,136,Yellow corbina,1,0.87,12-Jul,2,Grocery Store,620000,KW
321264,136,Save Mart,152,Pollack,1,2.61,12-Jul,2,Grocery Store,620000,KW
321265,136,Save Mart,254,Mussel,1 box,1.96,12-Jul,2,Grocery Store,620000,KW
321266,136,Save Mart,266,Cod,1,4.35,12-Jul,2,Grocery Store,620000,KW
321555,98,Lotte,305,Apple-Fuji,1,4.30,12-Jul,2,Grocery Store,350000,NW
321556,98,Lotte,306,Pear,1,5.22,12-Jul,2,Grocery Store,350000,NW
321557,98,Lotte,307,Chiness cabbage,1,0.00,12-Jul,2,Grocery Store,350000,NW
321558,98,Lotte,308,Radish,1,1.72,12-Jul,2,Grocery Store,350000,NW
321559,98,Lotte,309,Onions,9 lbs,2.17,12-Jul,2,Grocery Store,350000,NW
321560,98,Lotte,23,Lettuce,3.5 Ounce,1.57,12-Jul,2,Grocery Store,350000,NW
321561,98,Lotte,311,Cucumber,1,0.56,12-Jul,2,Grocery Store,350000,NW
321562,98,Lotte,312,squash,1,1.11,12-Jul,2,Grocery Store,350000,NW
321563,98,Lotte,58,Beef - Sirloin,1.3 lbs,28.70,12-Jul,2,Grocery Store,350000,NW
321564,98,Lotte,99,Pork,1,17.22,12-Jul,2,Grocery Store,350000,NW
321565,98,Lotte,283,Chicken,1,7.91,12-Jul,2,Grocery Store,350000,NW
321566,98,Lotte,134,Egg,12,2.48,12-Jul,2,Grocery Store,350000,NW
321567,98,Lotte,136,Yellow corbina,1,1.74,12-Jul,2,Grocery Store,350000,NW
321568,98,Lotte,265,Pollack,1,0.00,12-Jul,2,Grocery Store,350000,NW
321569,98,Lotte,254,Mussel,1 box,2.83,12-Jul,2,Grocery Store,350000,NW
321570,98,Lotte,266,Cod,1,5.65,12-Jul,2,Grocery Store,350000,NW
321587,86,Home Plus,279,Apple-Fuji,1,2.78,12-Jul,2,Grocery Store,230000,DD
